Seq2Seq20slg,translation
LAPSE WRITE DECLARATION SEE MINUTE,lapsed written declarations see minutes
TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes
DESC-ORAL QUESTION AND WRITE DECLARATION SUBMISSION SEE MINUTE,oral questions and written declarations submission see minutes
TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes
ORDER BUSINESS,order of business
"BY AGREEMENT WITH DESC-POLITICAL GROUP , X-I WOULD LIKE TO PROPOSE FOLLOW CHANGE","by agreement with the political groups, I would like to propose the following changes"
PRESIDENT CUT OFF SPEAKER,the president cut off the speaker
"MR BORGHEZIO , THIS BE DESC-NOT POINT ORDER , SINCE X-WE BE TALK ABOUT DESC-PLENARY SIT .","mr borghezio, this is not a point of order, since we are talking about plenary sitting."
THIS BE DESC-ALMOST WITHOUT PRECEDENT .,this is almost without precedent.
X-I BE DESC-SIMPLY MAKE DESC-LEGITIMATE AND DESC-INDEED DESC-VALID DESC-POLITICAL COMMENT WITH WHICH ALDE CHAIR DISAGREE .,i am simply making a legitimate and indeed valid political comment with which the alde chairs disagree.
THIS BE WHY MICROPHONE BE SWITCH OFF .,this is why the microphone is switched off.
"IF EUROPEAN PARLIAMENT CENSOR DESC-POLITICAL COMMENT , X-IT CEASE TO BE PARLIAMENT .","if the european parliament censors political comments, it ceases to be a parliament."
X-I WILL REPLY IN WRITE TO LETTER X-YOU SEND X-I .,i will reply in writing to the letter you sent me.
THURSDAY,thursday
DESC-SO THIS BE ABOUT POSTPONEMENT VOTE .,so this is about postponement of the vote.
X-WE HAVE DESC-ORIGINALLY AGREE TO PUT X-IT ON AGENDA ON ASSUMPTION THAT EVERYTHING BE IN ORDER .,we have originally agreed to put it on the agenda on the assumption that everything is in order.
X-WE DESC-REFORE ASK FOR VOTE ON THIS ISSUE TO BE POSTPONE .,we therefore ask for the vote on this issue to be postponed.
DESC-WELCOME,welcome
X-I HAVE SOME DESC-SPECIAL INFORMATION FOR X-YOU .,i have some special information for you.
